ansatz,entanglement,reps,accuracy,avg_eig,eig_sd,avg_time,time_sd
SU2_h,linear,3,0.44,-23.993757953562923,1.6043214295852293,7.653184900283813,0.12586861919250497
SU2_h,full,1,0.6,-24.807305026109507,0.9152984494781465,10.78280966758728,0.6574709547803724
SU2_h,full,2,0.68,-24.766997383178186,1.0877377129272991,11.14959376335144,0.28959258180784714
SU2_h,full,3,0.62,-24.382974272304235,1.3020262727635934,11.25006432056427,0.2669929025179053
SU2_h,reverse_linear,1,0.72,-24.710539840934644,1.1541336207150474,7.766068468093872,0.2601771564202152
SU2_h,reverse_linear,2,0.6,-24.608330208822963,1.4313467687958816,7.778335957527161,0.22164265692169277
SU2_h,reverse_linear,3,0.54,-24.322103408242914,1.343528434964836,7.722870302200318,0.19775202659057106
SU2_h,sca,1,0.46,-23.179384190695952,2.364803990535916,7.890872340202332,0.19749952309682295
SU2_h,sca,2,0.46,-23.78593813841465,1.7096699663040213,7.855310606956482,0.16264606257188335
SU2_h,sca,3,0.52,-24.07935862865559,1.8792044025083585,7.80734787940979,0.1376049061964098
SU2_h,circular,1,0.38,-22.522276187433835,2.484997433267479,7.812581987380981,0.16686036576468902
SU2_h,circular,2,0.32,-21.71798159873344,2.6448261070661405,7.845601191520691,0.16615285654766718
SU2_h,circular,3,0.4,-21.775456684658234,2.943725293703906,7.8513946628570555,0.16455422647686122
SU2_rz,full,1,0.52,-24.015140497512103,1.914063882503806,6.2594782161712645,0.13773174938110236
SU2_rz,full,2,0.44,-23.461922563075778,1.5890181539043369,9.212648882865906,0.2540980991624079
SU2_rz,linear,1,0.44,-23.6809774882607,2.3789911400711095,5.05387857913971,0.12826107068395917
SU2_rz,full,3,0.52,-21.70067167830332,2.1906990561701085,12.030566844940186,0.3339859084791062
SU2_rz,linear,2,0.3,-22.554609669645846,2.3746572190116275,6.719443101882934,0.15624074377819064
SU2_rz,reverse_linear,1,0.38,-23.427664359912598,2.3180491747634444,5.059051551818848,0.12491107856374933
SU2_rz,linear,3,0.32,-20.413387815872582,2.6912766672261133,8.439946479797364,0.252228841386134
SU2_rz,reverse_linear,2,0.4,-23.062948962306987,1.5908129283387262,7.059632802009583,0.27352386646917315
SU2_rz,sca,1,0.48,-21.296099029499697,3.2706289766342205,5.35836877822876,0.14406785934198818
SU2_rz,reverse_linear,3,0.44,-21.78093962293164,1.7971725765387836,8.707828350067139,0.3131315212035532
SU2_rz,sca,2,0.36,-22.88398428881117,2.1813226090063593,7.158807172775268,0.14961089146489429
SU2_rz,circular,1,0.4,-21.73171829465894,3.1211719718938014,5.333258581161499,0.1262901946607566
SU2_rz,sca,3,0.28,-19.397443621905044,2.679857519590588,9.202946190834046,0.2132684491581076
SU2_rz,circular,2,0.28,-20.783153402782844,2.6807860266190264,7.301880469322205,0.14046325184913133
SU2_cx,full,1,0.66,-24.739999998701748,1.9678414571012708,3.5527133321762085,0.5813779930914079
SU2_cx,linear,1,0.22,-23.239999996108082,2.258849265064184,1.6155769109725953,0.07660526093890507
SU2_rz,circular,3,0.26,-17.50444481505428,2.4240500138457497,9.36335319519043,0.22072962986997777
SU2_cx,linear,2,0.2,-19.855114019165192,3.0204739961852773,6.7428802967071535,0.36243560514079437
SU2_cx,full,2,0.54,-23.9606872069668,2.03154980055312,9.177579264640809,0.9504852908914107
SU2_cx,reverse_linear,1,0.64,-24.4399999982009,2.367783773828092,2.72680992603302,0.6302747018517834
SU2_cx,full,3,0.36,-20.657462321894304,2.800972545742363,12.785200781822205,0.23774674001905086
SU2_cx,linear,3,0.2,-17.178501500136573,2.9400249514844488,8.470820188522339,0.17855428529812584
SU2_cx,sca,1,0.24,-23.25909902958946,2.2599785799749728,2.315354528427124,0.8451529698243746
SU2_cx,reverse_linear,2,0.48,-23.71831133561722,2.2468402194651533,6.515461287498474,0.4651117603756187
SU2_cx,circular,1,0.28,-22.901458729256884,2.9122317694192152,2.471092495918274,0.8418627131780487
SU2_cx,reverse_linear,3,0.42,-20.6572735464937,3.097296388282078,8.376663241386414,0.173815786664939
SU2_cx,sca,2,0.5,-21.258078643671098,3.153387673902425,6.548515820503235,0.589671180935197
SU2_cx,sca,3,0.38,-18.267474756288745,3.8523629246878768,8.483550801277161,0.14046814796826992
SU2_cx,circular,2,0.2,-17.937963950061597,4.195976250304495,6.619006862640381,0.5586314771381907
RealAmplitudes,full,1,0.42,-24.377417681446463,1.3194362166811409,5.144350333213806,0.6330480381653539
SU2_cx,circular,3,0.28,-12.651546344347024,3.3199203732006084,8.413881144523621,0.1662277333816917
RealAmplitudes,linear,1,0.52,-24.32662118609221,2.107499385452084,3.290723934173584,0.7820928973870274
RealAmplitudes,full,2,0.46,-24.335520288440158,1.4230419848279199,7.87498293876648,0.26311717819536284
RealAmplitudes,linear,2,0.5,-24.44551336401426,1.7201507882093936,5.362296738624573,0.16383761986153159
RealAmplitudes,full,3,0.48,-24.146920728675994,1.569514248016432,10.324900937080383,0.22009744434674203
RealAmplitudes,reverse_linear,1,0.42,-24.102504939314805,1.6663188578768051,3.7631109380722045,0.6282682692260123
RealAmplitudes,linear,3,0.38,-23.34063147197046,2.158434336136969,6.475840129852295,0.11253008455908416
RealAmplitudes,sca,1,0.54,-23.948286408940962,2.0912344235782077,3.5045631456375124,0.8635456105487744
RealAmplitudes,reverse_linear,2,0.54,-24.67180164695221,1.4391833784474342,5.398247184753418,0.35154198229934536
RealAmplitudes,sca,2,0.44,-24.247774202242958,1.6162060908481903,5.555484337806702,0.3400443554311838
RealAmplitudes,reverse_linear,3,0.6,-24.306303491340827,1.1039981017383662,6.682355489730835,0.1876283066769807
RealAmplitudes,circular,1,0.5,-23.38621437679709,2.734757414489863,3.6996645402908324,0.9041483381774298
RealAmplitudes,sca,3,0.44,-23.947551850724835,1.769790448768203,6.9522120380401615,0.20956706594574753
RealAmplitudes,circular,2,0.42,-23.511441430171296,2.095704847310603,5.611323776245118,0.2202616125988006
RealAmplitudes,circular,3,0.26,-22.089657909461202,2.006241293289121,6.615567317008972,0.38589815763718194
