entanglement,1,2,3
linear,-148.2516382930692,-151.9805818172775,-108.39547508877529
full,-145.95638753050682,-139.67311398349634,-103.38458848712304
circular,-133.12578747625687,-131.52325786422742,-120.04656901663331
sca,-142.37839273401545,-124.61098683245372,-122.78096920493157
reverse_linear,-139.560219373355,-138.45726197361924,-92.98706002238981
