ansatz,entanglement,reps,accuracy,avg_eig,eig_sd,avg_time,time_sd
SU2_h,linear,1,0.59,-153.4375898911086,5.967329090128948,62.627570722103115,5.120691831619521
SU2_h,linear,2,0.52,-152.19544951738288,5.837711886657628,61.78616949319839,5.552134045083934
SU2_h,linear,3,0.54,-153.19598468843674,5.154969398478214,63.50194585323334,8.291249976243883
SU2_h,reverse_linear,1,0.64,-152.99139872577365,6.572319958843255,60.199634370803835,6.942527358772149
SU2_h,full,1,0.52,-153.2689934952937,6.0642143466142295,146.4570963191986,10.790788257225746
SU2_h,full,2,0.6,-154.15572816555238,6.266365678407646,163.3874732351303,22.106028524478607
SU2_h,full,3,0.52,-153.78408266058366,4.9843743712801585,169.99542046546935,22.20820129703115
SU2_h,reverse_linear,2,0.5,-154.50627782254048,5.816807116212325,60.718406825065614,4.3123014013158
SU2_h,reverse_linear,3,0.54,-155.1929746171172,5.395555327648616,62.776429395675656,2.7368799576816403
SU2_h,sca,1,0.54,-151.05563003157883,6.245305975978008,67.25021467208862,8.76856181282123
SU2_h,sca,2,0.66,-151.835098123367,6.095352149791061,74.57371925354003,7.1226834145813145
SU2_h,sca,3,0.52,-151.72727908216905,5.9785861354113745,62.4884711933136,0.7152900945954923
SU2_h,circular,1,0.54,-150.48168516202048,6.193503588780639,62.18787425041199,0.7510871083749937
SU2_h,circular,2,0.58,-148.74792758357714,5.842351153544335,61.766023588180545,0.9845807333980288
SU2_h,circular,3,0.52,-147.8858713213373,6.2283240218192155,62.064616689682005,0.9963193532879979
SU2_rz,full,1,0.5800000000000001,-157.68405300415534,5.402580048738713,65.6421155834198,0.9581342890996266
SU2_rz,linear,1,0.66,-158.39425913471126,5.870558183365887,34.39643311977387,0.359441757616676
SU2_rz,linear,2,0.4,-139.54655185566997,6.865103142616062,47.6567349243164,0.9186545640639404
SU2_rz,full,2,0.26,-145.2029493548694,6.158280941277981,108.01026535987855,2.120977572300385
SU2_rz,reverse_linear,1,0.52,-157.37595584584753,5.456767369876344,34.95802307605744,0.49741880054437176
SU2_rz,linear,3,0.34,-135.28636810069372,6.411641175448225,68.20148419857026,7.4407015174761275
SU2_rz,reverse_linear,2,0.44,-146.4236066741037,5.82915747938352,47.659267687797545,0.5792751527409596
SU2_rz,sca,1,0.7,-153.25222456516508,8.265119994792242,34.71844583034515,0.5736107939463769
SU2_rz,full,3,0.26,-130.28289559885724,12.387558347799601,152.3495286655426,7.2536721796702235
SU2_rz,reverse_linear,3,0.22,-129.88069093098454,10.932924581406244,62.07853372097016,0.9367073183028702
SU2_rz,sca,2,0.34,-145.1444532657614,5.866625278669929,48.56184512138367,1.4178866527067002
SU2_rz,circular,1,0.6599999999999999,-153.57067261961555,5.7619919678995375,34.13324725151062,0.5067575009711136
SU2_rz,circular,2,0.32,-137.2896028790329,7.997313355436356,47.33078435897827,0.6219582001318364
SU2_rz,sca,3,0.36,-127.13104345749116,7.788446237763402,61.446720418930056,0.9809505261111251
SU2_rz,circular,3,0.28,-126.37417353089796,7.172280783250187,60.36528408527374,0.8794261276106072
SU2_cx,full,1,0.46,-160.5519354308372,5.654317740547837,61.9288561964035,7.525831207428042
SU2_cx,linear,1,0.33999999999999997,-159.97999997528385,5.353466163522996,18.17350076198578,0.4224280971271696
SU2_cx,linear,2,0.46,-140.66001653092934,15.967429752348245,46.57228836059571,4.547716129014104
SU2_cx,full,2,0.5800000000000001,-161.34165051286024,4.6110982743085716,101.97915970802308,1.5010562848210385
SU2_cx,linear,3,0.24,-110.48751209241657,22.47962686310566,58.670675888061524,4.219051116664901
SU2_cx,reverse_linear,1,0.52,-162.03999971449014,5.414646541349306,33.65929468154907,3.6428879080574137
SU2_cx,sca,1,0.48000000000000004,-160.9599998886918,5.882040474947342,19.876194372177125,4.624798072819435
SU2_cx,reverse_linear,2,0.64,-161.15199341099805,4.7014978700184,44.385642290115356,0.4992162713125546
SU2_cx,full,3,0.26,-139.108420811282,10.651900978250373,146.71894366264343,5.4791531170062875
SU2_cx,reverse_linear,3,0.28,-141.95272228007468,10.673180398693738,57.77826417446136,0.6208150694663153
SU2_cx,circular,1,0.46,-160.7199999729964,5.875508495053082,18.915733461380004,3.901565472398496
SU2_cx,sca,2,0.62,-157.1805071919134,5.257804040678996,46.96547515392304,3.4854500185960124
SU2_cx,sca,3,0.3,-115.17033956506789,18.55476147754032,61.67422519683838,6.415030379089997
SU2_cx,circular,2,0.12,-96.24627216081696,37.41909060396035,45.510412063598636,3.21246999101361
RealAmplitudes,full,1,0.62,-161.7576820059223,4.127761964162913,52.24525074005127,0.4397992161758042
SU2_cx,circular,3,0.06,-62.23437836239722,21.06996951271618,74.68148804187774,3.580042364855816
RealAmplitudes,linear,1,0.6799999999999999,-162.69913319238628,7.1488460529754345,22.909928941726683,1.480249567310676
RealAmplitudes,linear,2,0.64,-159.28983297196015,5.661802974948939,40.584381608963014,0.40606098722108264
RealAmplitudes,full,2,0.64,-159.26650541345774,5.327007833761641,90.22369291305542,0.8298092532372597
RealAmplitudes,linear,3,0.5800000000000001,-152.9347906970767,6.196468811713674,41.098268704414366,0.7545203172945214
RealAmplitudes,reverse_linear,1,0.6799999999999999,-161.42571710800658,4.280434068815204,29.225069794654846,0.7626993803900032
RealAmplitudes,reverse_linear,2,0.54,-159.01802134594382,5.3656607970181955,32.46783058166504,0.9627966914887476
RealAmplitudes,full,3,0.52,-151.41431778909117,5.766597935928409,126.22759974956513,1.2201822671205182
RealAmplitudes,sca,1,0.72,-160.64409394708437,4.814046405802867,29.572718334197997,1.3241913067338191
RealAmplitudes,reverse_linear,3,0.5,-153.18860610959288,6.8083833517872465,43.25543390750885,3.771040297408337
RealAmplitudes,sca,2,0.6000000000000001,-159.41063971496715,5.383510958153954,35.15350293159485,3.198460155977675
RealAmplitudes,circular,1,0.6,-158.99576048927227,5.500008532842458,30.47258369445801,1.1447357515520622
RealAmplitudes,circular,2,0.6000000000000001,-157.4157105463739,6.010872063880753,33.15953007221222,1.0526932095714865
RealAmplitudes,sca,3,0.48000000000000004,-150.03383446859894,6.4952614467558885,42.34054487705231,1.2874539504764586
RealAmplitudes,circular,3,0.52,-147.96866265790968,6.896816726471905,49.30718070507049,4.193723239076576
