encoding qubits,number of iterations,rotations,eigenvalue
4,2,0,-2.0
4,3,3,-2.0
4,4,4,-1.0
4,5,22,2.0
4,6,31,5.0
4,7,29,-7.0
4,8,41,-7.0
4,9,42,5.0
4,10,55,5.0
4,20,47,4.0
4,30,79,12.0
4,40,50,2.0
4,50,38,12.0
4,60,40,26.0
4,70,38,5.0
4,80,67,-1.0
4,90,34,26.0
4,1,0,-1.0
4,2,1,0.0
4,3,4,-1.0
4,4,23,-1.0
4,5,32,2.0
4,6,33,-1.0
4,7,44,12.0
4,8,57,-7.0
4,9,40,-7.0
4,10,48,-7.0
4,20,28,2.0
4,30,70,12.0
4,40,33,5.0
4,50,45,12.0
4,60,46,-1.0
4,70,29,5.0
4,80,38,4.0
4,90,80,-7.0
4,1,0,-2.0
4,2,1,0.0
4,3,5,-7.0
4,4,22,2.0
4,5,11,4.0
4,6,39,5.0
4,7,57,-7.0
4,8,67,-2.0
4,9,52,2.0
4,10,32,4.0
4,20,32,26.0
4,30,51,5.0
4,40,62,-7.0
4,50,80,2.0
4,60,51,26.0
4,70,76,-7.0
4,80,79,12.0
4,90,40,-1.0
4,1,0,-1.0
4,2,1,12.0
4,3,3,-7.0
4,4,16,-1.0
4,5,21,-2.0
4,6,29,2.0
4,7,49,-7.0
4,8,39,-7.0
4,9,27,-1.0
4,10,40,-1.0
4,20,58,2.0
4,30,23,-1.0
4,40,33,-1.0
4,50,58,2.0
4,60,39,-7.0
4,70,29,5.0
4,80,48,-7.0
4,90,60,2.0
4,1,0,0.0
4,2,2,-1.0
4,3,2,2.0
4,4,4,26.0
4,5,26,26.0
4,6,29,2.0
4,7,74,-1.0
4,8,24,5.0
4,9,31,-1.0
4,10,45,-7.0
4,20,58,-1.0
4,30,39,-2.0
4,40,27,-1.0
4,50,49,-2.0
4,60,79,4.0
4,70,32,-7.0
4,80,44,12.0
4,90,47,5.0
4,1,0,-7.0
4,2,1,0.0
4,3,1,-1.0
4,4,27,12.0
4,5,44,5.0
4,6,45,-1.0
4,7,18,0.0
4,8,34,-2.0
4,9,43,26.0
4,10,48,5.0
4,20,81,5.0
4,30,74,12.0
4,40,37,2.0
4,50,27,26.0
4,60,61,-1.0
4,70,50,-2.0
4,80,37,-1.0
4,90,78,-1.0

4,1,0,-1.0
4,2,5,5.0
4,3,1,-1.0
4,4,5,-7.0
4,5,28,-1.0
4,6,42,2.0
4,7,17,12.0
4,8,27,-1.0
4,9,79,-2.0
4,10,80,2.0
4,20,28,5.0
4,30,46,26.0
4,40,38,4.0
4,50,26,5.0
4,60,23,26.0
4,70,28,0.0
4,80,44,-7.0
4,90,76,12.0
4,1,0,26.0
4,2,1,-1.0
4,3,3,2.0
4,4,11,12.0
4,5,19,-7.0
4,6,62,12.0
4,7,7,-2.0
4,8,40,0.0
4,9,36,2.0
4,10,17,4.0
4,20,58,12.0
4,30,61,12.0
4,40,72,5.0
4,50,35,0.0
4,60,44,0.0
4,70,25,12.0
4,80,43,-7.0
4,90,45,4.0
4,1,0,-1.0
4,2,1,12.0
4,3,3,12.0
4,4,3,5.0
4,5,7,4.0
4,6,32,26.0
4,7,38,-1.0
4,8,77,-7.0
4,9,39,-1.0
4,10,43,-7.0
4,20,24,-7.0
4,30,18,-2.0
4,40,26,2.0
4,50,15,5.0
4,60,29,4.0
4,70,69,12.0
4,80,35,26.0
4,90,25,12.0
4,1,0,-7.0
4,2,0,-7.0
4,3,8,4.0
4,4,3,-1.0
4,5,9,-2.0
4,6,69,4.0
4,7,49,26.0
4,8,58,2.0
4,9,79,4.0
4,10,50,5.0
4,20,41,2.0
4,30,60,-7.0
4,40,70,-1.0
4,50,51,26.0
4,60,52,12.0
4,70,42,-2.0
4,80,56,2.0
4,90,49,-7.0
4,1,0,0.0
4,2,0,-7.0
4,3,8,-1.0
4,4,5,-7.0
4,5,41,-7.0
4,6,21,-1.0
4,7,53,-7.0
4,8,44,12.0
4,9,28,26.0
4,10,64,12.0
4,20,58,-1.0
4,30,37,12.0
4,40,35,12.0
4,50,35,-7.0
4,60,18,-1.0
4,70,50,2.0
4,80,24,-1.0
4,90,80,-7.0
4,1,0,-1.0
4,2,3,5.0
4,3,13,-1.0
4,4,9,-1.0
4,5,13,-2.0
4,6,39,12.0
4,7,30,-1.0
4,8,79,-7.0
4,9,37,26.0
4,10,40,-1.0
4,20,55,2.0
4,30,78,-7.0
4,40,36,-7.0
4,50,35,2.0
4,60,63,-7.0
4,70,61,12.0
4,80,63,-7.0
4,90,38,5.0
4,1,0,12.0
4,2,0,-1.0
4,3,2,-2.0
4,4,14,-1.0
4,5,42,5.0
4,6,38,-7.0
4,7,27,5.0
4,8,28,-2.0
4,9,9,5.0
4,10,55,-7.0
4,20,74,2.0
4,30,41,-7.0
4,40,40,-1.0
4,50,46,-7.0
4,60,38,5.0
4,70,40,2.0
4,80,22,26.0
4,90,79,26.0
4,1,0,-2.0
4,2,4,2.0
4,3,4,-1.0
4,4,7,12.0
4,5,16,-2.0
4,6,4,2.0
4,7,55,-1.0
4,8,30,5.0
4,9,14,5.0
4,10,29,-2.0
4,20,36,-7.0
4,30,36,-2.0
4,40,17,-1.0
4,50,29,12.0
4,60,44,5.0
4,70,66,-1.0
4,80,39,12.0
4,90,40,-7.0
4,1,0,2.0
4,2,1,-7.0
4,3,2,-1.0
4,4,23,2.0
4,5,32,-7.0
4,6,28,12.0
4,7,14,12.0
4,8,65,-1.0
4,9,37,-1.0
4,10,45,12.0
4,20,38,2.0
4,30,60,5.0
4,40,47,4.0
4,50,55,-2.0
4,60,24,-7.0
4,70,49,-7.0
4,80,35,-1.0
4,90,43,-7.0
4,1,0,-1.0
4,2,0,-1.0
4,3,2,26.0
4,4,10,-7.0
4,5,20,-2.0
4,6,36,2.0
4,7,69,-7.0
4,8,20,2.0
4,9,30,12.0
4,10,64,0.0
4,20,80,5.0
4,30,45,5.0
4,40,35,12.0
4,50,46,-7.0
4,60,38,4.0
4,70,31,-1.0
4,80,35,5.0
4,90,35,26.0
4,1,0,12.0
4,2,1,0.0
4,3,9,-2.0
4,4,52,-2.0
4,5,16,-7.0
4,6,20,12.0
4,7,57,12.0
4,8,62,5.0
4,9,67,12.0
4,10,39,26.0
4,20,54,2.0
4,30,49,-1.0
4,40,45,-7.0
4,50,45,-2.0
4,60,33,0.0
4,70,54,-7.0
4,80,36,-1.0
4,90,28,-7.0
4,1,0,26.0
4,2,1,12.0
4,3,18,26.0
4,4,9,5.0
4,5,15,-2.0
4,6,11,-1.0
4,7,36,4.0
4,8,36,2.0
4,9,79,2.0
4,10,40,-7.0
4,20,30,-7.0
4,30,50,-7.0
4,40,22,-7.0
4,50,47,12.0
4,60,58,12.0
4,70,40,2.0
4,80,45,12.0
4,90,55,-7.0
4,1,0,-7.0
4,2,0,12.0
4,3,2,0.0
4,4,2,-7.0
4,5,51,2.0
4,6,7,26.0
4,7,53,-7.0
4,8,50,12.0
4,9,23,-1.0
4,10,78,26.0
4,20,47,12.0
4,30,40,2.0
4,40,46,-7.0
4,50,48,-7.0
4,60,54,2.0
4,70,30,-7.0
4,9,30,-1.0
4,9,40,2.0
4,9,24,-7.0
4,9,28,5.0
4,9,30,12.0
4,9,25,2.0
4,9,22,-7.0
4,9,9,-7.0
4,9,7,-7.0
4,9,51,-1.0
4,9,41,-1.0
4,9,36,12.0
4,9,59,-7.0
4,9,71,-7.0
4,9,14,-7.0
4,9,7,-7.0
4,9,14,-7.0
4,9,27,5.0
4,9,55,2.0
4,9,37,-7.0
4,9,54,-1.0
4,9,71,-7.0
4,9,11,-7.0
4,9,11,-7.0
4,9,9,-7.0
4,9,58,5.0
4,9,47,-7.0
4,9,75,12.0
4,9,80,-1.0
4,9,58,-7.0
4,9,10,-7.0
4,9,9,-7.0
4,9,8,-7.0
4,9,60,-2.0
4,9,18,-1.0
4,9,39,-7.0
4,9,57,-7.0
4,9,25,-7.0
4,9,13,-7.0
4,9,10,-7.0
4,9,8,-7.0
4,9,39,-2.0
4,9,50,-1.0
4,9,25,-7.0
4,9,47,-7.0
4,9,51,-1.0
4,9,14,-7.0
4,9,14,-7.0
4,9,12,-7.0
4,9,50,-2.0
4,9,53,-2.0
4,9,24,-7.0
4,9,37,12.0
4,9,34,-1.0
4,9,11,-7.0
4,9,4,-7.0
4,9,10,-7.0
4,9,26,-7.0
4,9,54,2.0
4,9,53,-2.0
4,9,23,-2.0
4,9,47,-7.0
4,9,10,-7.0
4,9,12,-7.0
4,9,20,-7.0
4,9,36,2.0
4,9,48,-1.0
4,9,40,12.0
4,9,44,0.0
4,9,51,-7.0
4,9,12,-7.0
4,9,16,-7.0
4,9,14,-7.0
4,9,34,4.0
4,9,40,12.0
4,9,47,-1.0
4,9,38,-1.0
4,9,39,-2.0
4,9,11,-7.0
4,9,21,-7.0
4,9,14,-7.0
4,9,32,-1.0
4,9,50,2.0
4,9,58,4.0
4,9,28,-2.0
4,9,58,-1.0
4,9,11,-1.0
4,9,9,-7.0
4,9,8,-7.0
4,9,15,-1.0
4,9,43,-1.0
4,9,20,-1.0
4,9,56,-2.0
4,9,63,-7.0
4,9,23,-7.0
4,9,14,-7.0
4,9,13,-7.0
4,9,40,-2.0
4,9,50,0.0
4,9,58,5.0
4,9,62,-2.0
4,9,30,-7.0
4,9,14,-7.0
4,9,7,-7.0
4,9,16,-7.0
4,9,43,4.0
4,9,38,2.0
4,9,40,12.0
4,9,45,-1.0
4,9,44,-7.0
4,9,13,-7.0
4,9,18,-7.0
4,9,11,-7.0
4,9,40,2.0
4,9,66,5.0
4,9,47,4.0
4,9,38,-7.0
4,9,42,-7.0
4,9,9,-7.0
4,9,16,-7.0
4,9,14,-7.0
4,9,50,-1.0
4,9,55,-1.0
4,9,19,5.0
4,9,54,-7.0
4,9,65,-1.0
4,9,12,-7.0
4,9,12,-7.0
4,9,22,-7.0
4,9,34,-7.0
4,9,40,2.0
4,9,75,-7.0
4,9,46,-1.0
4,9,29,-7.0
4,9,14,-7.0
4,9,9,-7.0
4,9,9,-7.0
4,9,53,0.0
4,9,29,26.0
4,9,38,-2.0
4,9,38,26.0
4,9,51,-1.0
4,9,11,-7.0
4,9,11,-7.0
4,9,10,-7.0
4,9,28,5.0
4,9,37,-1.0
4,9,38,-2.0
4,9,34,-2.0
4,9,32,-7.0
4,9,10,-7.0
4,9,18,-7.0
4,9,19,-7.0
4,9,35,-1.0
4,9,49,-2.0
4,9,38,-1.0
4,9,26,-7.0
4,9,38,-1.0
4,9,12,-7.0
4,9,17,-7.0
4,9,16,-7.0
4,9,53,-7.0
4,9,16,-7.0
4,9,79,-7.0
4,9,49,-7.0
4,9,24,-7.0
4,9,6,-7.0
4,9,15,-7.0
4,9,12,-7.0
4,9,79,-7.0
4,9,60,12.0
4,9,27,-2.0
4,9,37,26.0
4,9,34,-7.0
4,9,15,-7.0
4,9,13,-7.0
4,9,12,-7.0
4,9,26,12.0
4,9,36,-2.0
4,9,59,2.0
4,9,25,-1.0
4,9,80,2.0
4,9,8,-7.0
4,9,15,-7.0
4,9,11,-7.0
4,9,32,-1.0
4,9,53,-1.0
4,9,29,5.0
4,9,37,-2.0
4,9,44,-2.0
4,9,19,-7.0
4,9,12,-7.0
4,9,7,-7.0
4,9,23,5.0
4,9,40,12.0
4,9,81,4.0
4,9,56,-7.0
4,9,44,-1.0
4,9,11,-7.0
4,9,25,-7.0
4,9,15,-7.0
4,9,31,5.0
4,9,49,12.0
4,9,21,-1.0
4,9,54,-2.0
4,9,45,-2.0
4,9,9,-7.0
4,9,13,-7.0
4,9,6,-7.0
4,9,70,12.0
4,9,29,-1.0
4,9,55,-1.0
4,9,46,-7.0
4,9,54,26.0
4,9,9,-7.0
4,9,10,-7.0
4,9,12,-7.0
4,9,37,-1.0
4,9,39,-2.0
4,9,21,-1.0
4,9,24,12.0
4,9,66,-7.0
4,9,16,-7.0
4,9,13,-7.0
4,9,7,-7.0
4,9,38,0.0
4,9,27,0.0
4,9,63,-1.0
4,9,72,-1.0
4,9,39,-7.0
4,9,8,-7.0
4,9,14,-7.0
4,9,16,-7.0
4,9,44,-7.0
4,9,40,26.0
4,9,58,26.0
4,9,46,-2.0
4,9,75,-7.0
4,9,11,-7.0
4,9,16,-7.0
4,9,14,-7.0
4,9,29,0.0
4,9,75,-1.0
4,9,47,5.0
4,9,51,-7.0
4,9,50,-7.0
4,9,17,-7.0
4,9,19,-7.0
4,9,11,-7.0
4,9,40,-1.0
4,9,77,12.0
4,9,38,-7.0
4,9,44,12.0
4,9,56,-1.0
4,9,14,-7.0
4,9,8,-7.0
4,9,12,-7.0
4,9,61,-2.0
4,9,21,-1.0
4,9,71,-2.0
4,9,12,-2.0
4,9,76,-1.0
4,9,20,-7.0
4,9,9,-7.0
4,9,14,-7.0
4,9,49,-1.0
4,9,39,5.0
4,9,16,4.0
4,9,77,-7.0
4,9,72,-2.0
4,9,13,-7.0
4,9,12,-7.0
4,9,6,-7.0
4,9,65,-1.0
4,9,42,5.0
4,9,79,-7.0
4,9,46,12.0
4,9,52,-7.0
4,9,11,-7.0
4,9,16,-7.0
4,9,5,-7.0
4,9,51,5.0
4,9,38,-7.0
4,9,41,12.0
4,9,80,-1.0
4,9,56,-7.0
4,9,16,-7.0
4,9,14,-7.0
4,9,15,-7.0
4,9,31,0.0
4,9,31,12.0
4,9,37,4.0
4,9,39,0.0
4,9,68,-7.0
4,9,9,-7.0
4,9,9,-7.0
4,9,13,-7.0
4,9,39,5.0
4,9,31,-7.0
4,9,44,5.0
4,9,73,-7.0
4,9,28,-7.0
4,9,13,-7.0
4,9,17,-7.0
4,9,10,-7.0
4,9,47,12.0
4,9,33,5.0
4,9,64,-7.0
4,9,64,-2.0
4,9,51,-2.0
4,9,16,-7.0
4,9,13,-7.0
4,9,10,-7.0
4,9,34,-7.0
4,9,57,4.0
4,9,43,5.0
4,9,48,12.0
4,9,44,-2.0
4,9,9,-7.0
4,9,9,-7.0
4,9,15,-7.0
4,9,69,12.0
4,9,69,-1.0
4,9,80,-7.0
4,9,52,-7.0
4,9,63,-1.0
4,9,21,-7.0
4,9,12,-7.0
4,9,12,-7.0
4,9,60,5.0
4,9,45,-1.0
4,9,24,12.0
4,9,36,-7.0
4,9,81,4.0
4,9,16,-7.0
4,9,14,-1.0
4,9,11,-7.0
4,9,52,0.0
4,9,59,4.0
4,9,40,2.0
4,9,36,12.0
4,9,55,-7.0
4,9,12,-7.0
4,9,11,-7.0
4,9,12,-7.0
4,9,55,4.0
4,9,28,-1.0
4,9,81,-7.0
4,9,39,-7.0
4,9,43,26.0
4,9,12,-7.0
4,9,16,-7.0
4,9,15,-7.0
4,9,44,26.0
4,9,18,12.0
4,9,55,12.0
4,9,44,12.0
4,9,60,-7.0
4,9,7,-7.0
4,9,18,-7.0
4,9,9,-7.0
4,9,26,5.0
4,9,23,-7.0
4,9,35,-1.0
4,9,30,0.0
4,9,30,-7.0
4,9,13,-7.0
4,9,9,-7.0
4,9,13,-7.0
4,9,35,12.0
4,9,25,2.0
4,9,49,26.0
4,9,57,12.0
4,9,36,-1.0
4,9,10,-7.0
4,9,14,-7.0
4,9,22,-7.0
4,9,53,2.0
4,9,79,-1.0
4,9,36,26.0
4,9,55,12.0
4,9,24,-7.0
4,9,13,-7.0
4,9,11,-7.0
4,9,17,-7.0
4,9,41,-1.0
4,9,41,-7.0
4,9,50,-7.0
4,9,24,-7.0
4,9,28,-7.0
4,9,9,-7.0
4,9,7,-7.0
4,9,13,-7.0
4,9,50,2.0
4,9,37,-7.0
4,9,34,-2.0
4,9,29,-7.0
4,9,79,-7.0
4,9,9,-7.0
4,9,10,-7.0
4,9,17,-7.0
4,9,36,0.0
4,9,21,12.0
4,9,44,0.0
4,9,75,-7.0
4,9,79,-1.0
4,9,17,-7.0
4,9,12,-7.0
4,9,15,-7.0
4,9,34,26.0
4,9,67,-7.0
4,9,35,4.0
4,9,58,-2.0
4,9,50,-7.0
4,9,14,-7.0
4,9,10,-7.0
4,9,10,-7.0
4,9,60,-1.0
4,9,43,-7.0
4,9,12,-7.0
4,9,28,26.0
4,9,51,-2.0
4,9,11,-7.0
4,9,8,-7.0
4,9,10,-7.0
4,9,40,-1.0
4,9,70,2.0
4,9,34,2.0
4,9,72,-2.0
4,9,36,5.0
4,9,9,-7.0
4,9,23,-7.0
4,9,14,-7.0
4,9,31,-1.0
4,9,28,2.0
4,9,17,12.0
4,9,44,-1.0
4,9,43,-1.0
4,9,11,-7.0
4,9,8,-7.0
4,9,13,-7.0
4,9,28,-1.0
4,9,51,-1.0
4,9,47,0.0
4,9,63,-7.0
4,9,46,26.0
4,9,8,-7.0
4,9,13,-7.0
4,9,6,-7.0
4,9,26,-7.0
4,9,48,-2.0
4,9,37,12.0
4,9,25,-2.0
4,9,48,-7.0
4,9,12,-7.0
4,9,16,-7.0
4,9,8,-7.0
4,9,23,-7.0
4,9,29,2.0
4,9,15,-2.0
4,9,62,-1.0
4,9,27,-7.0
4,9,15,-7.0
4,9,10,-7.0
4,9,9,-7.0
4,9,44,-2.0
4,9,79,-7.0
4,9,38,12.0
4,9,21,26.0
4,9,80,5.0
4,9,16,-7.0
4,9,8,-7.0
4,9,8,-7.0
4,9,60,12.0
4,9,77,5.0
4,9,29,4.0
4,9,20,-1.0
4,9,79,-7.0
4,9,18,-7.0
4,9,12,-7.0
4,9,15,-7.0
4,9,54,-1.0
4,9,57,5.0
4,9,45,5.0
4,9,59,-1.0
4,9,56,-1.0
4,9,17,-7.0
4,9,9,-7.0
4,9,11,-7.0
4,9,30,-1.0
4,9,51,-1.0
4,9,52,-1.0
4,9,36,12.0
4,9,13,-1.0
4,9,15,-7.0
4,9,11,-7.0
4,9,13,-7.0
4,9,58,4.0
4,9,50,-7.0
4,9,53,-7.0
4,9,48,-1.0
4,9,24,-1.0
4,9,13,-7.0
4,9,13,-7.0
4,9,15,-7.0
4,9,35,26.0
4,9,41,0.0
4,9,45,-7.0
4,9,21,-7.0
4,9,46,-7.0
4,9,8,-7.0
4,9,22,-7.0
4,9,14,-7.0
4,9,40,26.0
4,9,44,12.0
4,9,35,2.0
4,9,13,-7.0
4,9,77,-1.0
4,9,6,-7.0
4,9,12,-7.0
4,9,10,-7.0
4,9,40,-7.0
4,9,23,-7.0
4,9,41,-7.0
4,9,38,2.0
4,9,52,26.0
4,9,13,-7.0
4,9,10,-7.0
4,9,17,-7.0
4,9,32,2.0
4,9,31,12.0
4,9,36,5.0
4,9,30,-1.0
4,9,24,5.0
4,9,21,-7.0
4,9,10,-7.0
4,9,18,-7.0
4,9,42,-7.0
4,9,44,-2.0
4,9,29,-7.0
4,9,57,-7.0
4,9,60,-7.0
4,9,10,-7.0
4,9,10,-7.0
4,9,13,-7.0
4,9,43,-7.0
4,9,48,4.0
4,9,34,-1.0
4,9,34,26.0
4,9,75,-7.0
4,9,10,-7.0
4,9,15,-7.0
4,9,12,-7.0
4,9,30,4.0
4,9,41,12.0
4,9,38,-2.0
4,9,42,2.0
4,9,50,4.0
4,9,9,-7.0
4,9,13,-7.0
4,9,9,-7.0
4,9,45,-7.0
4,9,53,5.0
4,9,49,-1.0
4,9,69,12.0
4,9,61,-7.0
4,9,11,-7.0
4,9,13,-7.0
4,9,9,-7.0
4,9,33,5.0
4,9,19,-1.0
4,9,70,2.0
4,9,52,-7.0
4,9,51,-1.0
4,9,12,-7.0
4,9,7,-7.0
4,9,17,-7.0
4,9,25,-1.0
4,9,40,-1.0
4,9,34,4.0
4,9,50,12.0
4,9,36,2.0
4,9,15,-7.0
4,9,9,-7.0
4,9,11,-7.0
4,9,29,4.0
4,9,26,4.0
4,9,43,26.0
4,9,9,12.0
4,9,59,-1.0
4,9,9,-7.0
4,9,10,-7.0
4,9,18,-7.0
4,9,78,0.0
4,9,39,-7.0
4,9,70,-1.0
4,9,36,-7.0
4,9,49,-2.0
4,9,15,-7.0
4,9,11,-7.0
4,9,9,-7.0
4,9,38,12.0
4,9,36,-1.0
4,9,51,12.0
4,9,42,-2.0
4,9,40,-1.0
4,9,16,-7.0
4,9,7,-7.0
4,9,17,-7.0
4,9,27,12.0
4,9,45,-7.0
4,9,46,12.0
4,9,71,-7.0
4,9,47,-7.0
4,9,11,-7.0
4,9,17,-7.0
4,9,18,-7.0
4,9,66,-7.0
4,9,33,12.0
4,9,28,2.0
4,9,32,-1.0
4,9,46,-1.0
4,9,8,-7.0
4,9,15,-7.0
4,9,11,-7.0
4,9,45,0.0
4,9,48,-1.0
4,9,39,26.0
4,9,52,-2.0
4,9,69,-1.0
4,9,14,-7.0
4,9,4,-7.0
4,9,11,-7.0
4,9,56,-1.0
4,9,51,-1.0
4,9,55,-7.0
4,9,44,-7.0
4,9,34,2.0
4,9,16,-7.0
4,9,14,-7.0
4,9,12,-7.0
4,9,74,5.0
4,9,51,4.0
4,9,39,-1.0
4,9,27,-7.0
4,9,44,-2.0
4,9,16,-7.0
4,9,12,-7.0
4,9,12,-7.0
4,9,12,-7.0
4,9,79,0.0
4,9,48,26.0
4,9,49,-2.0
4,9,28,2.0
4,9,12,-7.0
4,9,10,-7.0
4,9,19,-7.0
4,9,52,-1.0
4,9,21,5.0
4,9,36,4.0
4,9,50,26.0
4,9,31,-7.0
4,9,13,-7.0
4,9,10,-7.0
4,9,20,-7.0
4,9,34,2.0
4,9,44,0.0
4,9,60,5.0
4,9,49,12.0
4,9,30,-7.0
4,9,10,-7.0
4,9,15,-7.0
4,9,16,-7.0
4,9,68,2.0
4,9,34,12.0
4,9,40,26.0
4,9,38,-7.0
4,9,51,-7.0
4,9,13,-7.0
4,9,12,-7.0
4,9,13,-7.0
4,9,50,-7.0
4,9,30,-1.0
4,9,43,-1.0
4,9,40,-7.0
4,9,38,-2.0
4,9,7,-7.0
4,9,10,-7.0
4,9,12,-7.0
4,9,79,-7.0
4,9,73,12.0
4,9,79,4.0
4,9,60,2.0
4,9,61,26.0
4,9,12,-7.0
4,9,9,-7.0
4,9,9,-7.0
4,9,10,12.0
4,9,61,0.0
4,9,47,2.0
4,9,14,12.0
4,9,39,-1.0
4,9,11,-7.0
4,9,16,-7.0
4,9,5,-7.0
4,9,38,5.0
4,9,57,0.0
4,9,30,-1.0
4,9,22,-7.0
4,9,54,26.0
4,9,9,-7.0
4,9,10,-7.0
4,9,11,-7.0
4,9,78,5.0
4,9,50,-7.0
4,9,47,-1.0
4,9,53,0.0
4,9,71,-2.0
4,9,11,-7.0
4,9,8,-7.0
4,9,8,-7.0
4,9,32,-2.0
4,9,39,12.0
4,9,31,-2.0
4,9,36,-2.0
4,9,59,-7.0
4,9,15,-7.0
4,9,14,-7.0
4,9,9,-7.0
4,9,31,5.0
4,9,39,12.0
4,9,50,-1.0
4,9,48,12.0
4,9,79,-1.0
4,9,10,-7.0
4,9,12,-7.0
4,9,11,-7.0
4,9,79,4.0
4,9,56,12.0
4,9,55,26.0
4,9,42,26.0
4,9,36,-1.0
4,9,14,-7.0
4,9,10,-7.0
4,9,9,-7.0
4,9,40,26.0
4,9,37,-2.0
4,9,16,0.0
4,9,37,-1.0
4,9,32,-7.0
4,9,17,-7.0
4,9,14,-7.0
4,9,10,-7.0
4,9,67,-1.0
4,9,67,2.0
4,9,33,0.0
4,9,72,2.0
4,9,58,-7.0
4,9,12,-7.0
4,9,9,-7.0
4,9,6,-7.0
4,9,25,-7.0
4,9,30,-1.0
4,9,33,-1.0
4,9,79,-1.0
4,9,49,-1.0
4,9,13,-7.0
4,9,15,-7.0
4,9,11,-7.0
4,9,35,-2.0
4,9,67,0.0
4,9,70,5.0
4,9,28,-1.0
4,9,79,4.0
4,9,5,-7.0
4,9,13,-7.0
4,9,13,-7.0
4,9,31,4.0
4,9,25,2.0
4,9,32,-7.0
4,9,45,12.0
4,9,79,-1.0
4,9,9,-7.0
4,9,9,-7.0
4,9,19,-7.0
4,9,72,2.0
4,9,27,-1.0
4,9,54,-7.0
4,9,48,-7.0
4,9,31,-2.0
4,9,12,-7.0
4,9,12,-7.0
4,9,13,-7.0
4,9,20,5.0
4,9,54,-7.0
4,9,55,-2.0
4,9,80,-1.0
4,9,49,-7.0
4,9,11,-7.0
4,9,8,-7.0
4,9,6,-7.0
4,9,51,5.0
4,9,58,4.0
4,9,31,-1.0
4,9,60,4.0
4,9,50,-7.0
4,9,11,-7.0
4,9,10,-7.0
4,9,9,-7.0
