encoding qubits,eigenvalue,time
5,-2.0,5.099724054336548
6,-7.0,5.962468862533569
7,-7.0,2.1307787895202637
8,-7.0,2.640566825866699
9,-7.0,3.429847240447998

2,-1.0,2.5336430072784424
3,-7.0,2.4801111221313477
4,-7.0,0.582111120223999
5,26.0,2.438673257827759
6,-2.0,5.878833055496216
7,-7.0,1.6910130977630615
8,-7.0,1.972923994064331
9,-7.0,3.8444950580596924

2,-1.0,1.8047771453857422
3,2.0,3.455087184906006
4,2.0,2.4964749813079834
5,-2.0,5.7507007122039795
6,5.0,4.2939980030059814
7,-7.0,1.5447230339050293
8,-7.0,5.21853494644165
9,-7.0,5.078295946121216

2,-1.0,1.4682831764221191
3,2.0,1.6674389839172363
4,12.0,1.365854024887085
5,-1.0,3.812864065170288
6,-1.0,5.105458974838257
7,-7.0,1.7217111587524414
8,-7.0,2.1112639904022217
9,-7.0,5.0239551067352295

2,-1.0,1.0787091255187988
3,-1.0,2.9119348526000977
4,0.0,3.4462480545043945
5,-7.0,5.592037916183472
6,26.0,5.911094903945923
7,-7.0,1.0646181106567383
8,-7.0,3.016948938369751
9,-7.0,2.5539700984954834

2,-7.0,0.727092981338501
3,-2.0,2.6782290935516357
4,12.0,2.686098098754883
5,-2.0,2.4703807830810547
6,-7.0,5.8505120277404785
7,-7.0,1.9032909870147705
8,-7.0,3.441354990005493
9,-7.0,3.0378081798553467

2,-7.0,0.8438010215759277
3,2.0,1.4856977462768555
4,-2.0,0.6590728759765625
5,-1.0,5.6236348152160645
6,-7.0,3.1724131107330322
7,-7.0,2.2157716751098633
8,-7.0,2.1077301502227783
9,-7.0,3.500673770904541

2,-2.0,1.910933017730713
3,-7.0,4.047216176986694
4,12.0,3.109590768814087
5,26.0,1.8130748271942139
6,5.0,9.09595274925232
7,-7.0,2.3450310230255127
8,-7.0,2.1609511375427246
9,-7.0,2.874469041824341

2,12.0,2.0923049449920654
3,5.0,4.297747850418091
4,4.0,2.5796117782592773
5,-1.0,1.966919183731079
